class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
down,0.452171326,0.395911694,-0.012343261,0.999992073,0.457382381,0.381232679,-0.029458841,0.999992728,0.458988667,0.380847901,-0.029448574,0.999993324,0.460807264,0.380371392,-0.029466122,0.999993086,0.456617028,0.380971104,-0.001771658,0.999991238,0.457521528,0.380441874,-0.001759376,0.999990463,0.458602428,0.379793763,-0.001734065,0.999990284,0.473288447,0.385827035,-0.069329098,0.999995232,0.470238388,0.384886622,0.056779541,0.999971509,0.458259672,0.412757993,-0.02586164,0.999976277,0.457358599,0.412537038,0.010083457,0.999951541,0.490605175,0.472503126,-0.134579569,0.999960542,0.475882381,0.474888682,0.139904529,0.999874294,0.453566551,0.58033669,-0.100820504,0.982608557,0.445166677,0.581493497,0.068493873,0.171329349,0.442155212,0.491930723,0.075404637,0.96611166,0.439543962,0.504791379,-0.101923034,0.318470895,0.436853796,0.472952724,0.082152881,0.938870251,0.435308069,0.481729597,-0.118616045,0.327364981,0.443706036,0.465023726,0.078302749,0.938161969,0.44124192,0.476531297,-0.116004325,0.311627328,0.447138935,0.472314328,0.080958098,0.917735696,0.444383055,0.483475119,-0.107065879,0.309378624,0.487183958,0.70397532,-0.081720658,0.9999668,0.472279966,0.69753474,0.081622049,0.999988794,0.505672872,0.881723285,-0.12960951,0.998849809,0.38530013,0.699151576,0.126171812,0.958169639,0.60269922,0.835674286,-0.059277702,0.994974494,0.398118496,0.863621593,0.131231934,0.977207243,0.617988527,0.815789223,-0.04962232,0.976643801,0.410460621,0.89345789,0.130328745,0.955649555,0.614920974,0.905407369,-0.039082643,0.993009269,0.356470883,0.899100244,0.141248509,0.972951412
up,0.464675725,0.259280175,0.016052008,0.999989808,0.468948185,0.245402589,-0.001632795,0.999991596,0.470476806,0.244989708,-0.001646874,0.999991655,0.472067773,0.244467825,-0.001699074,0.999992907,0.467598826,0.245627016,0.028731683,0.999990165,0.468102127,0.245368615,0.028734013,0.999988854,0.468664587,0.24500145,0.028776024,0.999991,0.484588444,0.249367252,-0.044681937,0.999995768,0.480801582,0.249235213,0.094014607,0.999951184,0.46951437,0.274884284,0.002016967,0.999965847,0.467975289,0.275070846,0.041410632,0.999936461,0.502794862,0.328159004,-0.118052326,0.999925733,0.487741649,0.339899391,0.180191368,0.999701262,0.46862632,0.426294118,-0.087257847,0.977548182,0.464847803,0.442737848,0.084132686,0.09800446,0.452915907,0.350005209,0.105530404,0.917971432,0.453324407,0.371379972,-0.117453352,0.201651216,0.448099196,0.336366922,0.116970077,0.86533463,0.449752897,0.349436998,-0.136274144,0.202655569,0.452959388,0.330399513,0.117782973,0.866996884,0.452308744,0.34377867,-0.130179271,0.200794131,0.455819845,0.335373491,0.114446461,0.813353121,0.45496124,0.350257814,-0.122668289,0.194316179,0.504526317,0.548864841,-0.087219313,0.999912798,0.483209044,0.555037558,0.087006532,0.999962032,0.546183228,0.708234727,-0.104967371,0.998797596,0.434284061,0.700178921,0.081639342,0.954380691,0.615350783,0.835314453,-0.066447563,0.998231351,0.401276261,0.861387551,0.083954878,0.988763213,0.631350398,0.847445667,-0.064145938,0.953823566,0.409038872,0.893170774,0.079885654,0.938404739,0.598910809,0.90143311,-0.132693917,0.9973768,0.356291801,0.887949288,0.026968777,0.983931482
down,0.456085742,0.394735754,-0.008048351,0.999991059,0.461399138,0.379935622,-0.024763096,0.999992609,0.463183552,0.379422158,-0.024762932,0.999993145,0.46508655,0.378802329,-0.024796212,0.999992967,0.459676087,0.380411685,0.002609839,0.999991179,0.460230678,0.380220592,0.002629852,0.999990284,0.460864484,0.379985809,0.002667522,0.999990344,0.477830946,0.384955972,-0.062604114,0.999995649,0.472089857,0.385635912,0.062939793,0.999970615,0.461847842,0.410823733,-0.020799918,0.999972165,0.460121095,0.411048114,0.01490396,0.999942243,0.492036253,0.4712497,-0.130142599,0.999955416,0.476822913,0.477489501,0.149002254,0.999863386,0.454296887,0.579907298,-0.087401234,0.97787559,0.448187441,0.586084127,0.082641996,0.1543549,0.441153288,0.489369541,0.099330798,0.951666057,0.440475225,0.504864693,-0.085314192,0.279201627,0.435923278,0.47329393,0.107040122,0.917927146,0.436539948,0.48409462,-0.101010665,0.286610276,0.442859322,0.46577543,0.102818809,0.91704011,0.442330033,0.480281651,-0.100174084,0.272439092,0.445839316,0.472536623,0.104950652,0.893405139,0.445097059,0.48642391,-0.090643749,0.271864235,0.488633931,0.703430712,-0.083430119,0.99997437,0.47279191,0.698198318,0.083338201,0.99999243,0.510663569,0.884515226,-0.141397372,0.998999476,0.385103166,0.697686911,0.139324933,0.951057136,0.60534972,0.836315513,-0.080411799,0.995049298,0.395322025,0.864145041,0.15120776,0.975237548,0.620382488,0.816304803,-0.071641386,0.978908896,0.408270746,0.893906295,0.150957823,0.950665534,0.623610616,0.900397658,-0.062821254,0.993390918,0.353454649,0.90039885,0.162940204,0.971488774
down,0.456947476,0.400485367,-0.010819437,0.99998945,0.461535126,0.385448933,-0.028251156,0.999991059,0.463267624,0.384879649,-0.028245434,0.999991775,0.465056092,0.384297222,-0.028270621,0.999991119,0.460401595,0.385700107,2.23E-07,0.99998951,0.461190641,0.385373056,1.83E-05,0.999988556,0.462141752,0.385002613,5.14E-05,0.99998796,0.47797817,0.388990283,-0.069306649,0.999994755,0.474234521,0.389380604,0.059321869,0.999967277,0.462632746,0.416303426,-0.024722574,0.999970615,0.461432219,0.41672799,0.012117811,0.999941051,0.4940947,0.473162413,-0.13634485,0.999960899,0.479705751,0.479528338,0.143071979,0.999894857,0.456062466,0.581784427,-0.095729977,0.977722764,0.451349169,0.588447392,0.079800859,0.172990367,0.445439249,0.493492663,0.090299636,0.956448376,0.444307894,0.509370863,-0.078049555,0.314617157,0.44036454,0.477192461,0.097495422,0.926037371,0.441677094,0.487982303,-0.093376867,0.323055953,0.446550369,0.469346464,0.092493817,0.925187349,0.446473539,0.483011425,-0.092860118,0.306157619,0.44969815,0.476162165,0.095533915,0.904172063,0.449082762,0.489179105,-0.083726294,0.305344313,0.488295406,0.707466841,-0.082279079,0.999975801,0.472934335,0.70287019,0.082203344,0.999993324,0.510941029,0.889316738,-0.135735512,0.998806179,0.384873837,0.699866056,0.137398496,0.949100137,0.606579304,0.836812258,-0.070695058,0.992631614,0.395471841,0.864627302,0.141843498,0.97107923,0.621432126,0.816072106,-0.061512422,0.97732234,0.408132255,0.894909322,0.140897021,0.9496665,0.620612621,0.91004616,-0.051646121,0.990677774,0.353855759,0.901022196,0.153476909,0.967690527
up,0.460261166,0.258309573,-0.000411193,0.999990702,0.464240402,0.244784042,-0.018491771,0.999991834,0.465802044,0.244143575,-0.018499073,0.999991894,0.467565447,0.243544579,-0.01854885,0.999992669,0.462833315,0.245261207,0.012717485,0.999990821,0.463251531,0.244995624,0.01272147,0.99998939,0.463780552,0.244681343,0.012765877,0.999990582,0.480412066,0.250397354,-0.061416041,0.999995768,0.474959433,0.250058621,0.081717469,0.999960959,0.465640783,0.273507655,-0.014365445,0.999970317,0.464026779,0.273828417,0.026202083,0.99993664,0.497964621,0.332564473,-0.131329313,0.9999488,0.483469725,0.34154126,0.171691298,0.999808848,0.463157088,0.431561917,-0.096146777,0.980858684,0.46008426,0.449326336,0.075474553,0.159418792,0.45051235,0.354281157,0.099378683,0.95030278,0.448743105,0.374933034,-0.129760221,0.300280958,0.446378946,0.338750035,0.111079119,0.911883116,0.444375813,0.354824781,-0.150293708,0.291134417,0.451006979,0.332457155,0.112644754,0.910995722,0.44675532,0.34935388,-0.145544991,0.283126861,0.453661591,0.337651104,0.108859621,0.876984477,0.449957311,0.354226977,-0.13576594,0.278793305,0.501655698,0.559604585,-0.091613017,0.999945879,0.481029332,0.564000666,0.091389835,0.999979794,0.545386195,0.719015479,-0.118452445,0.99825412,0.425067097,0.691436708,0.100685552,0.94800055,0.618530095,0.833808899,-0.080710299,0.995437682,0.400253147,0.857850492,0.132714987,0.977441072,0.638816893,0.841929734,-0.077694088,0.9619205,0.408085495,0.890568733,0.131757289,0.935405493,0.60566622,0.903586507,-0.150691926,0.994701087,0.355108559,0.888247252,0.081730098,0.969528496
down,0.469667494,0.390898585,-0.081927545,0.999987245,0.474853754,0.378329903,-0.087382726,0.999988735,0.478169531,0.378149301,-0.087394081,0.999987841,0.481799841,0.378240079,-0.087451495,0.999987543,0.469291359,0.37944895,-0.066881537,0.999988258,0.468026102,0.379914045,-0.066865727,0.999985456,0.466717541,0.380592525,-0.066827819,0.999985099,0.491874516,0.387526244,-0.077344947,0.999990463,0.471965224,0.388752669,0.015425853,0.999954104,0.4751122,0.408418864,-0.077286489,0.999948382,0.469289541,0.407555223,-0.050983258,0.999926388,0.494522631,0.47930795,-0.133216113,0.999838829,0.477778196,0.485452354,0.119685151,0.99979949,0.452193201,0.58902353,-0.073181227,0.962627292,0.446533352,0.594824731,0.068389401,0.244434685,0.447440207,0.492067933,0.140775844,0.899527609,0.444177687,0.506205559,-0.057887651,0.410230547,0.443842649,0.470328957,0.156056955,0.835280061,0.440656245,0.48133868,-0.069145724,0.383766055,0.451224267,0.466265261,0.153380454,0.829956174,0.446567059,0.479745179,-0.065482296,0.361521274,0.45422864,0.474365205,0.147801042,0.813098311,0.449834645,0.488486826,-0.060807515,0.356568396,0.490764558,0.70926863,-0.080822237,0.999963582,0.474720329,0.70412153,0.080677018,0.99998945,0.514643312,0.887986064,-0.123854123,0.997657657,0.387744397,0.697481751,0.12884441,0.929522932,0.609260678,0.835471272,-0.035356078,0.989768744,0.394433111,0.864953637,0.138527647,0.963945806,0.623785436,0.815254748,-0.021397827,0.975437641,0.407651752,0.894118845,0.139565825,0.937202275,0.623262942,0.901352167,-0.001293123,0.98620981,0.351723045,0.898322821,0.15285331,0.95032531
up,0.46927911,0.250144601,-0.034531593,0.999992907,0.474160969,0.237108082,-0.052942723,0.999993861,0.475991905,0.236852646,-0.052957885,0.999993324,0.477858394,0.236758038,-0.053012002,0.999993563,0.470663935,0.237658113,-0.022855923,0.999992847,0.470281065,0.237748712,-0.02284134,0.999991655,0.470214784,0.237880394,-0.022791786,0.999992728,0.490887731,0.245721176,-0.093679622,0.999996066,0.482838005,0.245355368,0.046231769,0.999966443,0.474668443,0.266859829,-0.046474185,0.999980032,0.471017122,0.267105669,-0.00721772,0.999967277,0.504761517,0.331985265,-0.151009664,0.999885619,0.485892206,0.341172755,0.141310319,0.999715924,0.46540013,0.442770779,-0.097948775,0.977262557,0.461237431,0.447912246,0.0509561,0.236522838,0.458141416,0.359672725,0.102639198,0.932252824,0.451916605,0.369846642,-0.153856844,0.460438371,0.454478085,0.339190066,0.115041636,0.887674749,0.448769152,0.347111255,-0.174121946,0.430137843,0.459265947,0.33281821,0.115478978,0.888582051,0.451518625,0.342123151,-0.171040431,0.424173921,0.462211668,0.338699967,0.111125156,0.852648318,0.454802841,0.349145412,-0.160089374,0.41298309,0.507949948,0.555226386,-0.088379689,0.999886453,0.485734046,0.560076535,0.088160105,0.999940455,0.551580191,0.712954879,-0.102936707,0.998251379,0.435008615,0.700157404,0.108207189,0.949047267,0.621854663,0.834952354,-0.050029241,0.997054577,0.400677979,0.857828617,0.150846094,0.98236841,0.638376057,0.848656058,-0.047730178,0.967582226,0.407738864,0.887870133,0.150313556,0.942845762,0.605160356,0.900349498,-0.122860409,0.995938182,0.35575524,0.884697974,0.097703442,0.973934412
down,0.45634374,0.3866539,-0.023289081,0.999985218,0.462869883,0.373732418,-0.040434323,0.999987841,0.464587629,0.373425454,-0.040428255,0.999989033,0.466473341,0.373119771,-0.040466607,0.999988139,0.46133405,0.373812139,-0.011946488,0.999986768,0.461978257,0.37346819,-0.011921603,0.999986589,0.462727368,0.373080879,-0.011889931,0.999985695,0.478194624,0.380940884,-0.079321086,0.999991894,0.473744631,0.379940927,0.050569195,0.999956131,0.461718947,0.403113008,-0.036535438,0.999952078,0.459920734,0.402156562,0.000623935,0.99991101,0.491862208,0.470645696,-0.14662002,0.99990648,0.47851643,0.474187553,0.140301973,0.999830782,0.45348388,0.580813587,-0.101830482,0.966839552,0.450836241,0.585407019,0.070371464,0.144193307,0.442957938,0.486477405,0.088149004,0.934396803,0.443204731,0.497624546,-0.09580937,0.282896221,0.43795076,0.468786269,0.096625283,0.891500115,0.438748986,0.477084994,-0.109650828,0.289432526,0.444976807,0.463222474,0.095463961,0.890270531,0.443879604,0.474963814,-0.108363315,0.276392132,0.448230803,0.469944179,0.094859935,0.864204943,0.447378397,0.48146376,-0.101178505,0.274321616,0.492067993,0.702937424,-0.086329386,0.999965847,0.477020353,0.69827354,0.086229958,0.999989331,0.51942277,0.882096946,-0.15062654,0.999078035,0.389353096,0.695994139,0.154858798,0.95275557,0.614616811,0.838183582,-0.0868821,0.99578023,0.393492073,0.86469084,0.176962093,0.98009634,0.630452275,0.818058789,-0.077524737,0.98255372,0.406735569,0.893655837,0.178047687,0.95825839,0.629710793,0.90052855,-0.066658273,0.993833601,0.349024177,0.895668089,0.191043168,0.974480391
up,0.465295315,0.257013351,-0.005425422,0.999986351,0.470601737,0.243302882,-0.023522383,0.999988675,0.472118318,0.243118927,-0.023540132,0.999988914,0.473760217,0.242857367,-0.023599774,0.999990344,0.469219357,0.243061259,0.007460576,0.999986827,0.46973443,0.242752433,0.007472184,0.999985576,0.470304817,0.242369547,0.007517947,0.999988377,0.485954136,0.250680178,-0.066196918,0.99999404,0.482487589,0.249706686,0.075744867,0.99993819,0.469909757,0.272925764,-0.019499853,0.999957502,0.468264967,0.272561312,0.020946015,0.99991852,0.502130866,0.333634049,-0.132344157,0.999891579,0.485985577,0.34513858,0.164348885,0.999707639,0.464426696,0.434878707,-0.093308195,0.975621462,0.460031599,0.447883815,0.069319271,0.133058831,0.455187321,0.353754461,0.1090727,0.911880314,0.451588571,0.372555077,-0.137310639,0.276630044,0.451854706,0.337655544,0.121852398,0.859702051,0.447921932,0.349996597,-0.156953454,0.266309351,0.457117796,0.331990719,0.123048387,0.862202048,0.451028764,0.345514297,-0.152481169,0.266978979,0.459516108,0.337520629,0.117886841,0.815357506,0.454282671,0.352151752,-0.143296525,0.260747403,0.504696548,0.555295408,-0.088728189,0.9998914,0.483557075,0.561249137,0.088490114,0.999948323,0.549272358,0.713213623,-0.115872346,0.998719037,0.432729632,0.699086249,0.110282041,0.944100499,0.623177409,0.832257092,-0.086569004,0.998137355,0.400218427,0.857367635,0.146508798,0.984121442,0.640792072,0.841193795,-0.085437246,0.956352711,0.407548845,0.887886882,0.146314844,0.924368382,0.611506522,0.900290668,-0.158840612,0.997258306,0.35598588,0.883631408,0.098333262,0.978976369
down,0.453896672,0.401332259,-0.019495705,0.999988794,0.458523571,0.386401445,-0.036669564,0.99999088,0.460313708,0.385796726,-0.036660913,0.999991536,0.462114155,0.385184616,-0.03669082,0.999991119,0.45713377,0.386614472,-0.008474034,0.999989867,0.457841635,0.386193454,-0.00844931,0.999989033,0.458686978,0.385696322,-0.008416421,0.999988675,0.475134552,0.390377551,-0.076755308,0.999994159,0.470719993,0.390406042,0.051864475,0.999964714,0.460075617,0.417410582,-0.033200514,0.999964416,0.458553255,0.417466342,0.003627801,0.999931097,0.491757691,0.472695768,-0.143890455,0.999941707,0.477371514,0.480976701,0.138716862,0.999855161,0.453640848,0.585047722,-0.100389257,0.974886775,0.446084201,0.59169513,0.077551499,0.172342092,0.441192627,0.493796498,0.086973414,0.947695792,0.439555466,0.506299436,-0.077209517,0.305146933,0.436091989,0.477112085,0.094597355,0.910841465,0.436344922,0.487085938,-0.090874687,0.306793511,0.44281593,0.469950199,0.092173293,0.909908354,0.441871107,0.48296544,-0.089352921,0.293091089,0.445638031,0.476687789,0.09321405,0.884773195,0.444624424,0.488920838,-0.082166143,0.291087925,0.491812289,0.706462264,-0.085589245,0.999968827,0.476496458,0.702376723,0.085490808,0.999989927,0.521164894,0.88518548,-0.141275704,0.999006689,0.388549387,0.695427716,0.146994382,0.950961947,0.61583358,0.837340534,-0.074049369,0.995165765,0.393180132,0.863871753,0.157281935,0.977632225,0.630515397,0.817708254,-0.064090706,0.980512381,0.406529337,0.893467367,0.157142296,0.953714907,0.629861772,0.898527026,-0.051734783,0.993286371,0.349514842,0.896902919,0.171257794,0.97225523
