class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
down,0.425125033,0.366327614,-0.19993791,0.999994874,0.432421058,0.343561381,-0.193456486,0.999997437,0.437518775,0.341843784,-0.193428606,0.999997258,0.441007078,0.340689033,-0.193452239,0.99999702,0.41896686,0.347028077,-0.175110474,0.999996781,0.414951473,0.347500443,-0.175144121,0.99999553,0.411794841,0.347920477,-0.175153062,0.999996126,0.449517488,0.346268445,-0.133285061,0.999996126,0.412424266,0.353645355,-0.05617439,0.999992609,0.436495543,0.388135701,-0.176691368,0.999995768,0.421837002,0.390785545,-0.154203504,0.999988675,0.474360228,0.462347656,-0.171021789,0.999958515,0.413886547,0.462841362,0.07449387,0.999879777,0.465239763,0.63805294,-0.189961806,0.991994083,0.388434201,0.601422489,0.084419616,0.634589195,0.382385433,0.702068746,-0.201541513,0.979580641,0.35413608,0.689047933,-0.054027207,0.660425127,0.360607564,0.727744281,-0.234858915,0.964089215,0.343042761,0.723400295,-0.084900253,0.604492426,0.354603976,0.714609623,-0.234000593,0.964660227,0.343734235,0.720007241,-0.111038946,0.610599279,0.360785931,0.704961419,-0.198262781,0.956563234,0.348796934,0.709470272,-0.070292875,0.62411499,0.467913449,0.741780579,-0.102925256,0.999505699,0.447088003,0.730867743,0.102784552,0.998811305,0.331056625,0.821288705,-0.13089186,0.995010614,0.480977058,0.942258298,0.135966778,0.915920496,0.332667172,1.030754805,-0.03531266,0.985739589,0.585375965,0.870495081,0.309014708,0.873558342,0.358411551,1.069888234,-0.026222184,0.939218581,0.608492196,0.84188205,0.329355627,0.918504775,0.280927628,1.102892995,-0.051897276,0.952324808,0.595378518,0.944307864,0.328960598,0.823695421
down,0.434001446,0.333534092,-0.231368348,0.999997437,0.441262484,0.309645981,-0.225080773,0.999998689,0.446356922,0.307683349,-0.225078553,0.999998331,0.45008111,0.306680202,-0.225108936,0.999998391,0.428002656,0.313662499,-0.20534119,0.999998093,0.424002171,0.314667284,-0.205383211,0.999997079,0.420669079,0.315664887,-0.20539543,0.999997735,0.458961397,0.312921643,-0.16470857,0.999997973,0.42110309,0.322911739,-0.078682519,0.999995351,0.445538372,0.355427861,-0.20688805,0.999998152,0.430642456,0.358174443,-0.182020336,0.999994874,0.485839993,0.434909135,-0.206588954,0.999985397,0.421275675,0.434527963,0.064236596,0.999908686,0.476922661,0.616553485,-0.226123244,0.996388733,0.399319708,0.585291743,0.082496352,0.689311504,0.405663967,0.713674188,-0.233918697,0.988350332,0.362897873,0.691894114,-0.043573204,0.609165311,0.388810545,0.741921484,-0.268293768,0.976090968,0.352677047,0.726311505,-0.069124103,0.529177845,0.377757579,0.729718864,-0.268764794,0.976651251,0.352420479,0.724789679,-0.101644441,0.541445374,0.38278836,0.719941556,-0.230963662,0.972987592,0.357552201,0.714558423,-0.061982196,0.580556631,0.479510158,0.717760921,-0.107333019,0.999741435,0.453547865,0.706184506,0.107207105,0.999239564,0.337061465,0.807559192,-0.140110329,0.989845395,0.487802356,0.934533954,0.144622713,0.866549611,0.33480683,1.018557787,-0.029809404,0.964049876,0.593802333,0.855551004,0.296760887,0.794497371,0.351616532,1.058135748,-0.020351931,0.889525533,0.61808449,0.828332424,0.314851344,0.886224926,0.281021357,1.09791255,-0.045483939,0.894298494,0.60521853,0.924559891,0.30826506,0.737646639
down,0.436798424,0.300755739,-0.275531888,0.999996722,0.444172323,0.27740857,-0.271243781,0.999998331,0.449421495,0.275875628,-0.271247417,0.999997973,0.454261631,0.274725884,-0.271294653,0.999997973,0.429449975,0.280921996,-0.250276089,0.999997437,0.42553252,0.281714916,-0.250324398,0.999995828,0.422841489,0.282288104,-0.25034982,0.999996841,0.462251186,0.280995607,-0.211124614,0.999997497,0.423605353,0.288770795,-0.119221583,0.999993384,0.44965595,0.324932188,-0.250139892,0.999997139,0.432878673,0.326667249,-0.223758548,0.999992132,0.490503848,0.405518472,-0.255031645,0.999984384,0.427089781,0.401336193,0.0479449,0.99985683,0.472928584,0.591068029,-0.272832632,0.995255291,0.409988403,0.560631454,0.074347809,0.611904919,0.402237952,0.702645421,-0.270761728,0.985583067,0.364868134,0.662881613,-0.053583313,0.569924653,0.385710716,0.72917074,-0.305608988,0.971323848,0.353182107,0.693002462,-0.074301027,0.498973072,0.374816239,0.718918502,-0.304082036,0.972136319,0.352001756,0.692927897,-0.11156176,0.51186049,0.380133271,0.709971786,-0.266475856,0.968879223,0.357187748,0.685202301,-0.073173322,0.550460398,0.486993611,0.694397569,-0.114602722,0.999766469,0.458289236,0.68021667,0.114431597,0.999190152,0.34017089,0.789718032,-0.170768186,0.98966074,0.495941013,0.912610531,0.179157153,0.841342151,0.33989498,1.005757689,-0.051720984,0.960522354,0.602798343,0.838177145,0.362256646,0.746535182,0.361441433,1.044665813,-0.044626616,0.884647787,0.628352702,0.811202645,0.383862376,0.851257145,0.289900899,1.09881103,-0.0641203,0.889470339,0.615737975,0.904617846,0.386969149,0.68253547
down,0.614478946,0.330516815,-0.126738057,0.999969125,0.61951673,0.313707381,-0.109591164,0.999976277,0.622564435,0.313026667,-0.109644905,0.999968529,0.624985218,0.312375128,-0.109717049,0.99996984,0.609711528,0.312846869,-0.113222443,0.999972224,0.60619992,0.31164363,-0.113236964,0.999962568,0.602983236,0.311171979,-0.113200225,0.999957323,0.626998305,0.316672474,-0.003450017,0.999940097,0.599029183,0.313302547,-0.017806102,0.999966502,0.619103789,0.344096571,-0.086169198,0.999978185,0.607508957,0.342508167,-0.090538591,0.999969006,0.644879401,0.405930877,0.078418329,0.999881804,0.571096539,0.389365673,-0.010028228,0.999885976,0.673215687,0.510748565,-0.021471692,0.95284754,0.556741118,0.493787497,-0.124820709,0.99456501,0.676707864,0.490758598,-0.221383497,0.95722878,0.614927173,0.463765889,-0.270989537,0.98993957,0.685216248,0.478030056,-0.257318676,0.913979352,0.631903529,0.453361392,-0.301778078,0.9730739,0.682427287,0.466029644,-0.254662335,0.908392489,0.635377526,0.443519861,-0.290531814,0.969079196,0.679118276,0.468486369,-0.223979324,0.878486753,0.630949378,0.445084035,-0.266770095,0.946452916,0.607245982,0.610477805,0.030211341,0.999977827,0.56612426,0.60981971,-0.030083785,0.999941468,0.68819505,0.690225363,-0.2212075,0.99496305,0.534010887,0.781565249,-0.04116768,0.993435681,0.672053039,0.855446935,-0.159818605,0.99178046,0.500410199,0.722926259,0.294096291,0.833397746,0.65910852,0.876604915,-0.155259088,0.959059954,0.497160435,0.696700811,0.329731435,0.621980608,0.703082263,0.910822272,-0.23448813,0.98445791,0.485953867,0.763581872,0.320324689,0.802898049
up,0.534089684,0.160465911,-0.295891821,0.999992013,0.540086448,0.147256479,-0.281706899,0.999989271,0.543072939,0.147761971,-0.281711936,0.999986053,0.545221388,0.148348868,-0.281731427,0.999984205,0.529937506,0.145590112,-0.280899435,0.99998945,0.526684523,0.144953787,-0.280934006,0.999986589,0.523450851,0.144777998,-0.280914843,0.999985397,0.548818409,0.15622595,-0.181090772,0.999972045,0.51991111,0.151668265,-0.177833676,0.999981999,0.539550424,0.179576188,-0.256998122,0.999991775,0.527031064,0.177675202,-0.256294608,0.999991298,0.568507671,0.245892942,-0.116144396,0.99995929,0.492988735,0.239087701,-0.085215047,0.999944985,0.573319376,0.353220165,-0.140552983,0.968131781,0.473043144,0.338610321,-0.116994634,0.987801433,0.545557737,0.38255161,-0.287507147,0.968312323,0.504259467,0.363844544,-0.283532351,0.984801054,0.536595762,0.396497846,-0.327951312,0.940685034,0.51411885,0.381596088,-0.323093116,0.970534027,0.533542573,0.380604893,-0.34078598,0.940074444,0.517711043,0.366025537,-0.33389926,0.968714893,0.535542727,0.373678386,-0.294611216,0.920687139,0.515754521,0.359449714,-0.290489227,0.951925874,0.546471298,0.435913622,-0.008928681,0.999890983,0.504533589,0.434599936,0.008850886,0.999886751,0.543937087,0.601132452,-0.012270463,0.998037934,0.498946667,0.596341789,0.016719704,0.996473372,0.531483471,0.715876579,0.178947121,0.995550931,0.50696367,0.718051076,0.194981843,0.957950354,0.528881907,0.729521275,0.191593736,0.953739405,0.5115031,0.736763775,0.206303,0.869223118,0.535016835,0.763779759,0.08627414,0.991695225,0.490428507,0.761438847,0.102995589,0.946001172
down,0.466829449,0.335421413,-0.234193683,0.999996364,0.47118932,0.319573939,-0.226690367,0.999989688,0.474862665,0.318542361,-0.226708964,0.999988437,0.47872895,0.317541748,-0.226734161,0.999986887,0.462210834,0.320788473,-0.21791482,0.999991,0.459653437,0.320887238,-0.217961594,0.999988735,0.456551164,0.321104795,-0.218005851,0.999987721,0.485896677,0.321494699,-0.151326939,0.999979138,0.455998003,0.325734824,-0.114948787,0.999968588,0.473950148,0.350730479,-0.205265567,0.999993324,0.463170707,0.351095051,-0.19441399,0.999993443,0.510361016,0.416513532,-0.125989139,0.99996841,0.436678559,0.411878973,-0.013357406,0.999972939,0.494731009,0.541553259,-0.160425469,0.989147782,0.418030649,0.51580137,0.045737185,0.772798896,0.431918859,0.522018075,-0.250328004,0.979248881,0.370877564,0.539787471,-0.034843974,0.847486615,0.420559078,0.530255675,-0.272661716,0.958720386,0.35476768,0.54889673,-0.050075311,0.822253466,0.418859482,0.522786856,-0.274080843,0.958516598,0.353120863,0.543702245,-0.07545694,0.836407185,0.421978146,0.52025044,-0.249870732,0.928091824,0.358768582,0.541810215,-0.047358986,0.811214328,0.485629946,0.63209039,-0.021816779,0.999819934,0.44315505,0.618665814,0.021655297,0.999957621,0.50762403,0.806918025,0.011164472,0.990482032,0.392841101,0.715921879,-0.285487592,0.998544097,0.533071816,0.717903733,0.337961972,0.834254742,0.409096301,0.888085485,-0.185652465,0.99670136,0.537195921,0.699020863,0.370464593,0.691153288,0.420292675,0.908031881,-0.17960003,0.933854997,0.535391986,0.75809598,0.332068741,0.856136799,0.391830385,0.958901286,-0.288871258,0.992579341
up,0.528824449,0.153042555,-0.298374891,0.999997735,0.533601463,0.137993157,-0.282918781,0.999994934,0.536675811,0.13763541,-0.282944262,0.999994397,0.539034963,0.137561083,-0.282960325,0.999993742,0.523505867,0.138954878,-0.281176478,0.999994278,0.520155251,0.13939257,-0.28120783,0.999993503,0.516968131,0.140225261,-0.281205028,0.999992967,0.543925822,0.143245056,-0.177645713,0.999990165,0.514549136,0.14716655,-0.171677515,0.999985933,0.535736203,0.169089794,-0.258985162,0.999997675,0.523747563,0.171690077,-0.256719202,0.999997437,0.570668817,0.238619804,-0.102496698,0.999982297,0.492270321,0.238434628,-0.089880712,0.99995029,0.579594612,0.346467912,-0.113737784,0.996010602,0.47347942,0.339033008,-0.083472773,0.957674384,0.553883731,0.396552056,-0.268894613,0.992881656,0.501930177,0.389097899,-0.229193807,0.955805182,0.546250641,0.42025727,-0.31154269,0.982433915,0.508444488,0.414926559,-0.267882347,0.930989563,0.541045845,0.410912544,-0.329368144,0.982527435,0.514280677,0.408051342,-0.282593727,0.932655931,0.541318715,0.402442127,-0.278022468,0.971375585,0.512807667,0.397737801,-0.237031192,0.906272173,0.54618001,0.441757023,0.001175976,0.999773264,0.504558802,0.436684668,-0.001247005,0.999802649,0.539948046,0.598912477,-0.008804509,0.993512511,0.505127788,0.6070472,0.008998957,0.994735241,0.530372441,0.717975676,0.198696941,0.96402669,0.503195047,0.729623318,0.185856104,0.991529047,0.52442801,0.731600761,0.213514641,0.873153508,0.503774345,0.743775427,0.197734699,0.871962249,0.533594072,0.767794371,0.104940675,0.962231338,0.50470072,0.778394163,0.083612494,0.986126125
down,0.621195912,0.351600796,-0.265411168,0.999984205,0.624301493,0.334755868,-0.246361256,0.999987781,0.627126992,0.334200054,-0.246399403,0.999982119,0.629914641,0.333602428,-0.246465564,0.999979436,0.614383817,0.335457027,-0.257959276,0.999987423,0.610423386,0.335232615,-0.258016974,0.999982536,0.606037498,0.334908932,-0.258033991,0.999980927,0.630486727,0.338348269,-0.121364914,0.99993813,0.597817719,0.340832084,-0.170099616,0.999985218,0.62525928,0.368926406,-0.215983033,0.999964714,0.614396513,0.368865997,-0.229973435,0.999970436,0.647833884,0.42872256,0.013203463,0.99969995,0.574029803,0.437219739,-0.174788371,0.999917805,0.649844944,0.535859525,0.021933202,0.49625203,0.588217318,0.558823943,-0.185698405,0.991055071,0.682943881,0.576158166,-0.132552207,0.706519842,0.650134444,0.563341498,-0.201136902,0.982867062,0.694810033,0.586364329,-0.156016499,0.731896877,0.668001592,0.57681036,-0.222536877,0.967970729,0.699320138,0.579240918,-0.18152824,0.746564209,0.671360016,0.563791335,-0.226462036,0.967146277,0.695093513,0.576430619,-0.147155225,0.723712206,0.664720714,0.55807358,-0.199107632,0.94713968,0.621091723,0.649573207,0.046797413,0.999970257,0.578118086,0.655108809,-0.046686687,0.999932349,0.705123305,0.731326044,-0.17249921,0.992494404,0.543836594,0.8213045,-0.030470442,0.991445899,0.677136064,0.89879185,-0.06050818,0.986431599,0.511925817,0.738211572,0.35316819,0.781969845,0.663510799,0.915478826,-0.050078899,0.925714135,0.5063923,0.708426893,0.394631624,0.566376209,0.704562545,0.96448952,-0.107313953,0.975231528,0.501812339,0.774244428,0.396780908,0.780678153
down,0.459371269,0.387294888,-0.201206654,0.999993324,0.464886099,0.36952278,-0.193566188,0.999978244,0.468858302,0.367688537,-0.193576679,0.999975204,0.472661078,0.365817845,-0.193592995,0.999966919,0.455209911,0.371430725,-0.184359208,0.999985576,0.452955574,0.371181756,-0.184381574,0.999982536,0.451109797,0.370908618,-0.184420034,0.999982417,0.480286032,0.364185601,-0.113824964,0.999960065,0.4522717,0.370059073,-0.072993115,0.999966979,0.468877792,0.400766164,-0.167824894,0.999989748,0.455650419,0.401485562,-0.156477332,0.999993622,0.512382388,0.443333447,-0.078290939,0.999964952,0.434875011,0.441403419,0.015138419,0.999994993,0.508865118,0.563067853,-0.195339754,0.993291974,0.393208206,0.539851487,-0.061862867,0.951717556,0.452127218,0.512040973,-0.361854136,0.987415254,0.404039085,0.526314318,-0.257350475,0.95176208,0.437741518,0.502171636,-0.388257086,0.966813624,0.409439027,0.519141078,-0.28819102,0.906992972,0.438462675,0.488564551,-0.378837615,0.964675784,0.415985882,0.501309395,-0.274220169,0.900137067,0.442214817,0.491421461,-0.357718199,0.927693009,0.417987585,0.50149554,-0.254697204,0.84593451,0.493261874,0.662021875,-0.019368123,0.999843717,0.449122846,0.649239421,0.019222563,0.999981642,0.516937017,0.83983928,0.020292323,0.978077233,0.400119066,0.746377289,-0.296892852,0.998462141,0.531195462,0.738959253,0.336801469,0.624411523,0.416743279,0.924102545,-0.215950012,0.994495153,0.532164931,0.715389311,0.367927194,0.585295498,0.428428024,0.946250141,-0.211055562,0.949076772,0.545990646,0.770762861,0.328653127,0.665964961,0.40251717,0.983913422,-0.317706108,0.988975167
up,0.529011369,0.155424178,-0.322740972,0.999965012,0.534493923,0.140525565,-0.306555301,0.99994421,0.537510753,0.140216306,-0.306572855,0.999934137,0.53987062,0.140087977,-0.30659169,0.999930203,0.524311423,0.141278699,-0.306656778,0.999940693,0.521140456,0.141408101,-0.306706846,0.999934316,0.517902911,0.141942039,-0.306717545,0.999936521,0.544054151,0.145931259,-0.195255607,0.999898136,0.515052855,0.148435161,-0.19681409,0.999900222,0.535979092,0.170969337,-0.280142277,0.999976277,0.52349478,0.171309456,-0.280770659,0.999975502,0.568009257,0.236567348,-0.111745939,0.999905229,0.493088156,0.239586934,-0.110973202,0.999710798,0.588053107,0.347880095,-0.146370307,0.992132604,0.469637215,0.344468713,-0.132538304,0.985839367,0.549270153,0.362519205,-0.321919054,0.987526596,0.505871534,0.373514861,-0.308724582,0.968904376,0.537881315,0.376705199,-0.365316927,0.964564204,0.516683817,0.385907412,-0.349662364,0.926459849,0.532988429,0.360731602,-0.378070295,0.962381542,0.51930511,0.372024417,-0.355535924,0.919020474,0.535657823,0.355604678,-0.327131808,0.941914856,0.51709938,0.366605163,-0.312819272,0.878330767,0.549685121,0.438375205,0.007634989,0.999511361,0.508035243,0.436383367,-0.007728926,0.99943006,0.547323287,0.597086489,0.0229504,0.993595481,0.514309168,0.609027326,-0.011944442,0.992557466,0.53896451,0.714870811,0.23962447,0.985521019,0.511228681,0.735200644,0.134688705,0.957478523,0.535941362,0.730389416,0.255389988,0.884179711,0.512792587,0.755180717,0.143172443,0.770087779,0.543177485,0.762475729,0.146986097,0.978638172,0.515936494,0.783697844,0.017231578,0.944492996
